income_stability,average_eligible_emi,average_usable_salary,average_monthly_credit,employer_category,employment_tenure_years,average_month_end_balance,bounce_count,gambling_transaction_count,active_loans_count,has_credit_card,has_personal_loan,has_home_loan,credit_exposure_intensity,average_obligation_to_income_ratio,credit_score
STABLE,50390.18,141932,363258.21,Category B (Private Ltd),2.95,7285.71,0,0,2,1,1,0,3,14.79,681
FLUCTUATING,78874.08,262709,784034.81,Category B (Private Ltd),4.73,3172.37,0,0,3,1,1,0,4,41.14,593
STABLE,35176.42,77435,169182.24,Category A (MNC/Govt/PSU),4.68,1227.7,1,0,1,0,1,0,2,35.89,599
STABLE,113193.83,261995,325941.81,Category B (Private Ltd),0.17,377834.49,0,0,5,1,1,1,6,56.47,711
STABLE,123516.8,212283,592196.27,Category B (Private Ltd),12.75,5867.17,0,0,4,1,1,1,5,55.87,663
STABLE,109849.31,227851,353624.38,Category A (MNC/Govt/PSU),0.9,10961.03,0,0,2,1,0,0,2,70.08,604
FLUCTUATING,7303.29,22666,38915.97,Category A (MNC/Govt/PSU),9.94,40533.85,0,0,4,1,1,0,4,60.26,630
FLUCTUATING,87814.75,211664,623016.94,Category C (Partnership/Proprietorship),6.4,302494.94,0,0,1,0,0,0,2,47.34,662
STABLE,114437.09,258550,549819.8,Category B (Private Ltd),0.75,721674.39,0,0,2,1,1,0,2,23.7,723
STABLE,67123.3,186776,311723.64,Category A (MNC/Govt/PSU),18.61,865899.05,0,0,0,0,0,0,0,29.37,800
STABLE,105093.89,235928,562658.1,Category A (MNC/Govt/PSU),1.4,7004.41,0,0,5,1,1,1,5,31.58,635
STABLE,128946.82,251025,325372.04,Unlisted,1.55,545471.72,0,0,0,0,0,0,0,67.86,689
STABLE,114215.44,245167,535786.36,Category A (MNC/Govt/PSU),2.31,994169.55,0,1,5,1,1,1,5,79.4,661
FLUCTUATING,34243.64,96202,104047.3,Category B (Private Ltd),5.66,5395.81,0,0,3,0,1,1,3,68.73,587
UNSTABLE,57481.05,142874,175298.83,Unlisted,10.49,481188.69,0,0,3,1,1,0,3,30.56,635
UNSTABLE,167090.08,293076,664169.69,Category A (MNC/Govt/PSU),2.15,1320638.34,1,0,3,0,1,0,3,89.53,534
FLUCTUATING,77983.81,189426,545597.43,Unlisted,1.67,479426.98,0,2,3,1,0,0,3,11.54,528
STABLE,59465.58,145059,360956.26,Category C (Partnership/Proprietorship),1.84,383290.49,0,0,5,1,1,1,6,93.21,643
FLUCTUATING,69199.49,160810,273402.22,Category B (Private Ltd),5.53,209839.25,0,0,0,0,0,0,1,25.05,688
STABLE,53418.4,92989,161830.37,Category A (MNC/Govt/PSU),13.18,450061.47,2,0,4,0,1,1,4,26.23,685
STABLE,108749.33,264079,472538.46,Category C (Partnership/Proprietorship),13.3,7606.18,0,0,2,1,0,0,3,84.58,566
FLUCTUATING,59176.98,115864,199168.17,Category A (MNC/Govt/PSU),8.29,505392.64,1,0,0,0,0,0,1,77.86,639
STABLE,133364.0,247549,688188.86,Category A (MNC/Govt/PSU),2.35,15359.23,0,0,5,1,1,1,5,81.31,612
STABLE,43913.56,80313,138168.98,Category A (MNC/Govt/PSU),3.69,99262.12,0,0,4,1,1,0,5,55.17,725
STABLE,110652.98,213687,630740.81,Category B (Private Ltd),1.95,320529.39,0,0,4,1,0,1,5,91.83,647
STABLE,46594.78,110235,148441.2,Category A (MNC/Govt/PSU),1.44,400159.71,0,0,4,0,1,1,4,65.85,713
STABLE,63086.13,200710,427928.66,Category A (MNC/Govt/PSU),0.64,128581.95,0,0,5,1,1,1,6,24.9,716
STABLE,95577.93,176319,298439.06,Category B (Private Ltd),5.25,16824.91,1,0,1,0,1,0,2,89.34,550
STABLE,9197.88,26364,30084.95,Category B (Private Ltd),0.13,124256.3,0,0,3,0,1,1,3,48.95,723
FLUCTUATING,23932.0,48304,68271.36,Category A (MNC/Govt/PSU),1.21,18694.76,0,0,1,0,0,0,2,42.76,647
STABLE,28726.06,75953,151304.07,Category B (Private Ltd),2.14,29476.93,0,0,3,1,1,1,4,46.0,699
FLUCTUATING,64600.16,124352,156108.95,Category A (MNC/Govt/PSU),4.34,360242.79,0,0,0,0,0,0,0,18.77,714
STABLE,78387.38,188031,299960.28,Category A (MNC/Govt/PSU),0.27,802194.23,0,0,3,1,1,0,3,51.91,745
STABLE,44960.02,112795,264508.44,Category C (Partnership/Proprietorship),7.84,71939.44,0,0,1,0,0,0,1,72.65,706
STABLE,9922.6,16801,39920.18,Category C (Partnership/Proprietorship),10.08,37722.26,0,0,2,1,1,0,3,22.46,698
STABLE,141893.38,299106,815445.82,Category C (Partnership/Proprietorship),1.35,909601.07,0,0,2,0,1,0,2,42.13,715
STABLE,78268.08,234786,466108.96,Category A (MNC/Govt/PSU),3.16,4858.57,0,0,0,0,0,0,0,59.59,673
STABLE,92921.11,240907,659410.22,Category A (MNC/Govt/PSU),16.51,23437.62,0,0,5,1,1,1,5,94.4,614
STABLE,92268.09,285987,381057.91,Category A (MNC/Govt/PSU),1.74,1013892.63,0,0,2,0,0,1,3,91.49,685
FLUCTUATING,143917.84,296103,460369.8,Category A (MNC/Govt/PSU),3.12,888767.76,0,0,2,1,0,1,3,12.75,697
STABLE,67342.58,176619,223665.05,Category A (MNC/Govt/PSU),14.11,528016.73,1,0,5,1,1,1,6,56.88,724
STABLE,39006.38,71813,213611.52,Category A (MNC/Govt/PSU),4.51,348694.42,0,0,1,0,0,1,1,45.26,738
STABLE,105728.64,188998,496271.33,Unlisted,28.47,735417.6,1,0,0,0,0,0,0,48.3,698
STABLE,18002.18,31949,80319.73,Category A (MNC/Govt/PSU),1.56,1751.92,0,0,1,0,0,0,2,79.39,640
STABLE,159344.03,296429,646189.07,Category B (Private Ltd),2.73,969006.99,0,0,3,0,1,1,4,39.8,734
STABLE,15496.27,35934,100914.08,Category A (MNC/Govt/PSU),3.61,75583.77,0,0,4,0,1,1,4,22.5,748
FLUCTUATING,93436.5,292107,318899.79,Category B (Private Ltd),2.13,871156.46,0,0,2,0,0,1,3,69.3,654
STABLE,103742.19,182312,355129.79,Category B (Private Ltd),0.95,2493.7,0,0,4,1,1,1,5,17.54,612
STABLE,57172.62,157979,273072.98,Category B (Private Ltd),5.86,12945.89,0,0,5,1,1,1,5,88.27,615
STABLE,40255.35,74291,185468.92,Category A (MNC/Govt/PSU),1.17,187637.55,0,0,1,0,0,0,1,15.3,754
STABLE,83120.36,146194,295802.34,Category B (Private Ltd),0.57,402992.95,0,0,4,1,1,1,5,11.71,745
FLUCTUATING,85959.1,255885,711630.15,Category B (Private Ltd),5.68,663387.63,0,0,1,0,1,0,1,73.36,668
STABLE,82224.94,201076,460832.91,Category B (Private Ltd),2.2,624887.73,0,0,5,1,1,1,6,30.91,729
STABLE,147330.95,287141,302218.82,Category C (Partnership/Proprietorship),14.91,1421386.52,0,0,3,0,0,1,4,87.98,847
FLUCTUATING,4994.7,10846,21184.83,Category C (Partnership/Proprietorship),1.15,39181.95,0,0,2,1,0,1,2,61.9,568
STABLE,169686.11,292762,480505.7,Category B (Private Ltd),2.3,829481.1,0,0,1,1,0,0,2,31.64,740
STABLE,113914.34,257754,570204.37,Category C (Partnership/Proprietorship),0.56,974484.81,0,0,2,0,0,1,2,27.43,718
STABLE,75657.45,146487,160577.48,Category C (Partnership/Proprietorship),8.8,591482.02,0,0,2,0,1,1,2,63.87,730
STABLE,11464.4,24060,56925.1,Category B (Private Ltd),6.26,76888.24,0,0,0,0,0,0,0,40.21,707
STABLE,49829.84,102263,126171.69,Unlisted,4.94,88816.02,0,0,3,1,1,0,4,85.98,587
UNSTABLE,22054.29,42154,44981.05,Category B (Private Ltd),7.19,77647.35,0,0,3,1,1,0,3,20.84,654
STABLE,100817.98,292247,426243.07,Category C (Partnership/Proprietorship),6.37,1031910.29,0,0,4,1,1,1,5,25.44,728
STABLE,105388.71,250773,482490.16,Unlisted,0.83,659098.06,0,0,3,0,0,1,3,89.23,620
UNSTABLE,118646.66,205716,496696.61,Category A (MNC/Govt/PSU),4.29,459945.43,0,0,5,1,1,1,5,48.32,665
STABLE,50792.45,142717,381765.35,Category A (MNC/Govt/PSU),1.87,444976.35,0,0,1,0,0,1,2,76.96,745
STABLE,106645.42,190760,542887.79,Category B (Private Ltd),3.28,575699.85,0,0,5,1,1,1,6,59.1,748
STABLE,90085.22,228967,586382.52,Category A (MNC/Govt/PSU),1.24,611990.71,2,0,3,0,1,1,4,83.15,606
